,Location,2020,2021,2022,Income_per_Capita
0,"Autauga, AL",45151.0,48914.0,49391.0,47818.666666666664
1,"Baldwin, AL",51230.0,55865.0,56747.0,54614.0
2,"Barbour, AL",37111.0,40795.0,40560.0,39488.666666666664
3,"Bibb, AL",34938.0,37175.0,37513.0,36542.0
4,"Blount, AL",38133.0,42852.0,43744.0,41576.333333333336
5,"Bullock, AL",30495.0,32903.0,31394.0,31597.333333333332
6,"Butler, AL",39534.0,45213.0,46916.0,43887.666666666664
7,"Calhoun, AL",39591.0,43045.0,42533.0,41723.0
8,"Chambers, AL",36250.0,38929.0,38876.0,38018.333333333336
9,"Cherokee, AL",39971.0,44622.0,44883.0,43158.666666666664
10,"Chilton, AL",38532.0,42012.0,42231.0,40925.0
11,"Choctaw, AL",40531.0,43289.0,46440.0,43420.0
12,"Clarke, AL",41234.0,44784.0,45179.0,43732.333333333336
13,"Clay, AL",35069.0,38770.0,39876.0,37905.0
14,"Cleburne, AL",37928.0,42777.0,44235.0,41646.666666666664
15,"Coffee, AL",45039.0,50028.0,50729.0,48598.666666666664
16,"Colbert, AL",40052.0,43782.0,44061.0,42631.666666666664
17,"Conecuh, AL",37100.0,40467.0,40376.0,39314.333333333336
18,"Coosa, AL",36000.0,38500.0,39617.0,38039.0
19,"Covington, AL",37926.0,41679.0,41543.0,40382.666666666664
20,"Crenshaw, AL",39935.0,45585.0,47882.0,44467.333333333336
21,"Cullman, AL",42181.0,46762.0,49122.0,46021.666666666664
22,"Dale, AL",40264.0,44101.0,43969.0,42778.0
23,"Dallas, AL",39269.0,42158.0,41812.0,41079.666666666664
24,"DeKalb, AL",34596.0,40068.0,40558.0,38407.333333333336
25,"Elmore, AL",44636.0,48442.0,49071.0,47383.0
26,"Escambia, AL",36380.0,39770.0,38838.0,38329.333333333336
27,"Etowah, AL",39607.0,42571.0,42951.0,41709.666666666664
28,"Fayette, AL",38222.0,41890.0,42036.0,40716.0
29,"Franklin, AL",36497.0,40049.0,42060.0,39535.333333333336
30,"Geneva, AL",38181.0,41771.0,41283.0,40411.666666666664
31,"Greene, AL",36626.0,39661.0,38104.0,38130.333333333336
32,"Hale, AL",41204.0,44293.0,43219.0,42905.333333333336
33,"Henry, AL",47555.0,51489.0,52045.0,50363.0
34,"Houston, AL",47325.0,51215.0,51096.0,49878.666666666664
35,"Jackson, AL",38905.0,43061.0,43275.0,41747.0
36,"Jefferson, AL",58074.0,64006.0,66345.0,62808.333333333336
37,"Lamar, AL",36793.0,39585.0,39200.0,38526.0
38,"Lauderdale, AL",42199.0,44530.0,45107.0,43945.333333333336
39,"Lawrence, AL",36917.0,42081.0,41522.0,40173.333333333336
40,"Lee, AL",41326.0,45046.0,46691.0,44354.333333333336
41,"Limestone, AL",47831.0,52876.0,53944.0,51550.333333333336
42,"Lowndes, AL",42209.0,47285.0,46639.0,45377.666666666664
43,"Macon, AL",34772.0,37946.0,38135.0,36951.0
