,Start Date,End Date,Location,Urban Rural Code,FIPS State,FIPS County,FIPS Code,Indicator,Total deaths,COVID-19 Deaths,Non-Hispanic White,Non-Hispanic Black,Non-Hispanic American Indian or Alaska Native,Non-Hispanic Asian,Non-Hispanic Native Hawaiian or Other Pacific Islander,Hispanic,Other,Urban Rural Description,2020,2021,2022,Income_per_Capita
0,01/01/2020,09/23/2023,"Anchorage Municipality, AK",3,2,20,2020,Distribution of all-cause deaths (%),9439,787,0.568,0.044,0.216,0.058,0.03,0.033,0.05,Medium metro,67764.0,72331.0,75506.0,71867.0
1,01/01/2020,09/23/2023,"Anchorage Municipality, AK",3,2,20,2020,Distribution of COVID-19 deaths (%),9439,787,0.452,0.037,0.255,0.111,0.074,0.038,0.033,Medium metro,67764.0,72331.0,75506.0,71867.0
2,01/01/2020,09/23/2023,"Anchorage Municipality, AK",3,2,20,2020,Distribution of population (%),9439,787,0.564,0.052,0.083,0.098,0.031,0.095,0.077,Medium metro,67764.0,72331.0,75506.0,71867.0
3,01/01/2020,09/23/2023,"Fairbanks North Star Borough, AK",4,2,90,2090,Distribution of all-cause deaths (%),2257,214,0.71,0.024,0.173,0.02,,0.027,0.044,Small metro,60410.0,65243.0,67790.0,64481.0
4,01/01/2020,09/23/2023,"Fairbanks North Star Borough, AK",4,2,90,2090,Distribution of COVID-19 deaths (%),2257,214,0.626,,0.257,,,,0.056,Small metro,60410.0,65243.0,67790.0,64481.0
5,01/01/2020,09/23/2023,"Fairbanks North Star Borough, AK",4,2,90,2090,Distribution of population (%),2257,214,0.691,0.047,0.077,0.033,0.005,0.081,0.066,Small metro,60410.0,65243.0,67790.0,64481.0
6,01/01/2020,09/23/2023,"Matanuska-Susitna Borough, AK",3,2,170,2170,Distribution of all-cause deaths (%),2797,241,0.854,0.01,0.077,0.011,,0.02,0.026,Medium metro,52717.0,55049.0,58048.0,55271.333333333336
7,01/01/2020,09/23/2023,"Matanuska-Susitna Borough, AK",3,2,170,2170,Distribution of COVID-19 deaths (%),2797,241,0.826,,0.083,,,0.046,,Medium metro,52717.0,55049.0,58048.0,55271.333333333336
8,01/01/2020,09/23/2023,"Matanuska-Susitna Borough, AK",3,2,170,2170,Distribution of population (%),2797,241,0.78,0.012,0.064,0.016,0.004,0.055,0.068,Medium metro,52717.0,55049.0,58048.0,55271.333333333336
9,01/01/2020,09/23/2023,"Autauga, AL",3,1,1,1001,Distribution of all-cause deaths (%),1906,197,0.816,0.171,,0.005,,,,Medium metro,45151.0,48914.0,49391.0,47818.666666666664
10,01/01/2020,09/23/2023,"Autauga, AL",3,1,1,1001,Distribution of COVID-19 deaths (%),1906,197,0.761,0.218,,,,,,Medium metro,45151.0,48914.0,49391.0,47818.666666666664
11,01/01/2020,09/23/2023,"Autauga, AL",3,1,1,1001,Distribution of population (%),1906,197,0.732,0.203,0.004,0.011,0.001,0.031,0.018,Medium metro,45151.0,48914.0,49391.0,47818.666666666664
12,01/01/2020,09/23/2023,"Baldwin, AL",4,1,3,1003,Distribution of all-cause deaths (%),9048,653,0.91,0.074,0.002,0.003,,0.01,0.001,Small metro,51230.0,55865.0,56747.0,54614.0
13,01/01/2020,09/23/2023,"Baldwin, AL",4,1,3,1003,Distribution of COVID-19 deaths (%),9048,653,0.884,0.086,,,,0.023,,Small metro,51230.0,55865.0,56747.0,54614.0
14,01/01/2020,09/23/2023,"Baldwin, AL",4,1,3,1003,Distribution of population (%),9048,653,0.833,0.085,0.007,0.011,0.0,0.046,0.018,Small metro,51230.0,55865.0,56747.0,54614.0
15,01/01/2020,09/23/2023,"Blount, AL",2,1,9,1009,Distribution of all-cause deaths (%),1951,103,0.978,0.01,,,,0.01,,Large fringe metro,38133.0,42852.0,43744.0,41576.333333333336
16,01/01/2020,09/23/2023,"Blount, AL",2,1,9,1009,Distribution of COVID-19 deaths (%),1951,103,0.932,,,,,,,Large fringe metro,38133.0,42852.0,43744.0,41576.333333333336
17,01/01/2020,09/23/2023,"Blount, AL",2,1,9,1009,Distribution of population (%),1951,103,0.868,0.015,0.005,0.004,0.0,0.095,0.013,Large fringe metro,38133.0,42852.0,43744.0,41576.333333333336
18,01/01/2020,09/23/2023,"Calhoun, AL",4,1,15,1015,Distribution of all-cause deaths (%),6275,670,0.821,0.164,,0.003,,0.009,0.002,Small metro,39591.0,43045.0,42533.0,41723.0
19,01/01/2020,09/23/2023,"Calhoun, AL",4,1,15,1015,Distribution of COVID-19 deaths (%),6275,670,0.809,0.17,,,,0.016,,Small metro,39591.0,43045.0,42533.0,41723.0
20,01/01/2020,09/23/2023,"Calhoun, AL",4,1,15,1015,Distribution of population (%),6275,670,0.714,0.212,0.004,0.008,0.001,0.041,0.02,Small metro,39591.0,43045.0,42533.0,41723.0
