location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
Afghanistan,142569383.0,216756.0,216220.001,5890029.0,7897.0,7895.58,3466414.802,5270.172,5257.128,143209.485,192.011,191.871,1059.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4623226.0,0.0,115.294,0.0,136714.0,3.431,18.0756,2714.6,914973548.0,808753531.0,741146645.0,19266598.0,78275.0,16963369.0,2224.65,1966.36,1802.0,46.88,412432.0,14826312.0,36.087,30024.46,66558.106,22747.800000000003,3156.563,1635.151,2206276.1010000003,0.0,730166.467,11728.57,0.0,0.0,46163.358,611.5,79287.09,624.953,50300488156.0,0.0,0.0,0.0,0.0
Africa,8697507958.0,13086366.0,13085463.155,190122922.0,258922.0,258916.557,6096085.172,9172.242,9171.643,133257.185,181.482,181.471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329246091541.0,210030405811.0,162266882142.0,21932508994.0,819930849.0,816634836.0,23076.89,14721.11,11373.27,1537.1200000000001,572378.0,527005893.0,36.945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1744898878922.0,0.0,0.0,0.0,0.0
Albania,204749368.0,334090.0,334090.008,2694582.0,3604.0,3604.062,72036052.26,117541.384,117541.368,948022.749,1267.98,1268.008,1044.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,402943865.0,1613870.0,141150.546,565.353,1612156.0,564.75,160.3154,31533.3,386106974.0,190960502.0,162629898.0,17086089.0,1417691.0,3080037.0,13584.3,6718.45,5721.81,601.2,1083629.0,1348486.0,47.436,45793.19,128257.233,46474.0,16128.924,10570.389000000001,14435596.113,1345.3000000000002,372030.485,12327.84,8683.3,62617.600000000006,0.0,3534.4700000000003,96091.10999999999,972.2850000000001,3476154914.0,404535.16508,901.41,833.96,142149.783413
Algeria,198775996.0,271765.0,271749.848,5305937.0,6881.0,6881.014,4426764.051,6052.243,6051.862,118163.912,153.234,153.23,1020.51,16593.0,369.523,0.0,0.0,0.0,0.0,0.0,0.0,230553.0,0.0,5.219,0.0,0.0,0.0,0.0,0.0,298397256.0,159540906.0,118139940.0,3905993.0,170786.0,15270910.0,664.55,355.3,263.07,8.68,340078.0,7845452.0,17.48,53011.03,21216.604,35589.3,7596.053000000001,4717.111,17016625.097,611.5,340439.17199999996,8230.79,856.0999999999999,37179.2,102415.243,2323.7,94024.23999999999,914.804,54916647844.0,210027.30007,137.11,326.13,4833.5843497000005
American Samoa,3127017.0,8331.0,8330.436,12875.0,34.0,34.006,70595259.079,188079.923,188066.98500000002,290664.837,767.583,767.5780000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340244.71499999997,0.0,0.0,0.0,0.0,0.0,347026.25,0.0,0.0,0.0,0.0,0.0,90184.01999999999,0.0,54172785.0,0.0,0.0,0.0,0.0
Andorra,27382176.0,48015.0,48003.33,136119.0,159.0,159.04,342950239.791,601367.692,601220.939,1704833.3,1991.418,1991.325,886.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13793707.0,0.0,174528.769,0.0,252844.0,3199.188,66.4361,7574.5,5375067.0,2355524.0,1931469.0,885502.0,4802.0,156665.0,6732.03,2950.18,2419.09,1109.04,1962146.0,57497.0,72.026,36701.5,200272.365,0.0,0.0,0.0,0.0,0.0,133472.105,9747.31,35467.0,46229.399999999994,0.0,0.0,102401.79000000001,1061.564,97647989.0,2164.799969,632.49,529.59,27525.3671573
Angola,66341595.0,105561.0,105510.499,1346106.0,1936.0,1935.502,1864104.159,2966.109,2964.641,37823.607,54.397,54.297,721.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42850383.0,28136.0,1241.905,0.8150000000000001,289656.0,8.391,1.9938,10653.3,1210827216.0,753657493.0,401121515.0,45664874.0,0.0,25415377.0,3402.2599999999998,2117.68,1127.15,128.35,714119.0,15746126.0,44.246,56577.42,29217.47,20546.4,2941.3149999999996,1665.726,7117242.385,0.0,337603.03500000003,4818.62,0.0,0.0,32610.072,0.0,74786.45,710.563,43525342108.0,0.0,0.0,0.0,0.0
Anguilla,1811436.0,3904.0,3903.998,5359.0,12.0,12.011999999999999,114091831.11,245890.278,245890.26,337532.267,755.808,755.8249999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83038.0,0.0,5271.25,0.0,18759.0,1190.808,5.3249,7230.099999999999,1290079.0,642898.0,513680.0,71124.0,1421.0,25008.0,8125.51,4049.23,3235.4,447.96,1575181.0,11273.0,71.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100139.23999999999,0.0,19417571.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,4850834.0,9106.0,9106.027,88986.0,146.0,146.048,51730090.053,97107.87,97107.829,948961.2440000001,1556.959,1556.898,531.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93919.0,0.0,1007.497,0.0,13900.0,149.136,21.0577,13233.1,7482788.0,4166658.0,3180454.0,9838.0,8412.0,138632.0,7979.79,4443.4,3391.67,10.49,1478361.0,66958.0,71.374,0.0,283546.435,39258.3,8479.059,5663.713000000001,26283423.289,0.0,234217.953,16106.91,0.0,0.0,0.0,4647.4,94195.45999999999,951.494,114683156.0,-898.4000267,-121.9,-104.15,-9653.481007
Argentina,6271989075.0,10044957.0,10044957.02,102476355.0,130472.0,130471.999,137814643.475,220718.21,220718.211,2251716.6520000002,2866.8740000000003,2866.899,987.3100000000001,1898676.0,41719.682,0.0,0.0,0.0,0.0,0.0,0.0,12012395718.0,36663810.0,265310.303,809.745,36592982.0,808.201,169.649,8866.6,63410157194.0,27054649566.0,20714816391.0,13967910417.0,115651175.0,115658611.0,139331.39,59447.23,45516.89,30691.58,2541375.0,41512093.0,91.18900000000001,57462.33,19784.470999999998,39013.7,13695.154,9100.342999999999,23156168.261,733.8,233632.136,6726.5,19812.6,33877.1,0.0,6115.0,93767.41,1033.435,55659126252.0,3335641.85196,475.65999999999997,667.33,73444.4865134
