Data as of,Year,Education Level,Race or Hispanic Origin,Sex,Age Group,Total Deaths,COVID-19 Deaths
12/01/2021,2020,Associate degree or some college,Hispanic,Female,0-24 years,402,19
12/01/2021,2020,Associate degree or some college,Hispanic,Female,25-39 years,1272,127
12/01/2021,2020,Associate degree or some college,Hispanic,Female,40-54 years,2298,410
12/01/2021,2020,Associate degree or some college,Hispanic,Female,55-64 years,2956,586
12/01/2021,2020,Associate degree or some college,Hispanic,Female,65-74 years,3547,689
12/01/2021,2020,Associate degree or some college,Hispanic,Female,75 years and over,6145,914
12/01/2021,2020,Associate degree or some college,Hispanic,Male,0-24 years,813,27
12/01/2021,2020,Associate degree or some college,Hispanic,Male,25-39 years,2447,236
12/01/2021,2020,Associate degree or some college,Hispanic,Male,40-54 years,3641,769
12/01/2021,2020,Associate degree or some college,Hispanic,Male,55-64 years,4392,1091
12/01/2021,2020,Associate degree or some college,Hispanic,Male,65-74 years,4847,1192
12/01/2021,2020,Associate degree or some college,Hispanic,Male,75 years and over,5968,1120
12/01/2021,2020,Associate degree or some college,Non-Hispanic American Indian or Alaska Native,Female,0-24 years,24,0
12/01/2021,2020,Associate degree or some college,Non-Hispanic American Indian or Alaska Native,Female,25-39 years,281,36
12/01/2021,2020,Associate degree or some college,Non-Hispanic American Indian or Alaska Native,Female,40-54 years,475,77
12/01/2021,2020,Associate degree or some college,Non-Hispanic American Indian or Alaska Native,Female,55-64 years,586,133
12/01/2021,2020,Associate degree or some college,Non-Hispanic American Indian or Alaska Native,Female,65-74 years,706,189
12/01/2021,2020,Associate degree or some college,Non-Hispanic American Indian or Alaska Native,Female,75 years and over,735,149
12/01/2021,2020,Associate degree or some college,Non-Hispanic American Indian or Alaska Native,Male,0-24 years,38,0
12/01/2021,2020,Associate degree or some college,Non-Hispanic American Indian or Alaska Native,Male,25-39 years,377,33
12/01/2021,2020,Associate degree or some college,Non-Hispanic American Indian or Alaska Native,Male,40-54 years,618,116
12/01/2021,2020,Associate degree or some college,Non-Hispanic American Indian or Alaska Native,Male,55-64 years,628,140
12/01/2021,2020,Associate degree or some college,Non-Hispanic American Indian or Alaska Native,Male,65-74 years,769,199
12/01/2021,2020,Associate degree or some college,Non-Hispanic American Indian or Alaska Native,Male,75 years and over,577,106
12/01/2021,2020,Associate degree or some college,Non-Hispanic Asian,Female,0-24 years,86,1
12/01/2021,2020,Associate degree or some college,Non-Hispanic Asian,Female,25-39 years,181,17
12/01/2021,2020,Associate degree or some college,Non-Hispanic Asian,Female,40-54 years,438,47
12/01/2021,2020,Associate degree or some college,Non-Hispanic Asian,Female,55-64 years,623,65
12/01/2021,2020,Associate degree or some college,Non-Hispanic Asian,Female,65-74 years,1038,122
12/01/2021,2020,Associate degree or some college,Non-Hispanic Asian,Female,75 years and over,3056,327
12/01/2021,2020,Associate degree or some college,Non-Hispanic Asian,Male,0-24 years,192,7
12/01/2021,2020,Associate degree or some college,Non-Hispanic Asian,Male,25-39 years,419,39
12/01/2021,2020,Associate degree or some college,Non-Hispanic Asian,Male,40-54 years,851,116
12/01/2021,2020,Associate degree or some college,Non-Hispanic Asian,Male,55-64 years,1109,225
12/01/2021,2020,Associate degree or some college,Non-Hispanic Asian,Male,65-74 years,1760,342
12/01/2021,2020,Associate degree or some college,Non-Hispanic Asian,Male,75 years and over,3242,475
12/01/2021,2020,Associate degree or some college,Non-Hispanic Black,Female,0-24 years,555,27
12/01/2021,2020,Associate degree or some college,Non-Hispanic Black,Female,25-39 years,2263,135
12/01/2021,2020,Associate degree or some college,Non-Hispanic Black,Female,40-54 years,5346,610
12/01/2021,2020,Associate degree or some college,Non-Hispanic Black,Female,55-64 years,9135,1149
12/01/2021,2020,Associate degree or some college,Non-Hispanic Black,Female,65-74 years,11435,1679
12/01/2021,2020,Associate degree or some college,Non-Hispanic Black,Female,75 years and over,15940,2274
12/01/2021,2020,Associate degree or some college,Non-Hispanic Black,Male,0-24 years,1080,15
12/01/2021,2020,Associate degree or some college,Non-Hispanic Black,Male,25-39 years,3881,196
12/01/2021,2020,Associate degree or some college,Non-Hispanic Black,Male,40-54 years,6199,762
12/01/2021,2020,Associate degree or some college,Non-Hispanic Black,Male,55-64 years,8875,1184
12/01/2021,2020,Associate degree or some college,Non-Hispanic Black,Male,65-74 years,11307,1697
12/01/2021,2020,Associate degree or some college,Non-Hispanic Black,Male,75 years and over,9692,1522
12/01/2021,2020,Associate degree or some college,Non-Hispanic More than one race,Female,0-24 years,63,2
12/01/2021,2020,Associate degree or some college,Non-Hispanic More than one race,Female,25-39 years,173,1
12/01/2021,2020,Associate degree or some college,Non-Hispanic More than one race,Female,40-54 years,239,10
12/01/2021,2020,Associate degree or some college,Non-Hispanic More than one race,Female,55-64 years,279,15
12/01/2021,2020,Associate degree or some college,Non-Hispanic More than one race,Female,65-74 years,373,27
12/01/2021,2020,Associate degree or some college,Non-Hispanic More than one race,Female,75 years and over,553,40
12/01/2021,2020,Associate degree or some college,Non-Hispanic More than one race,Male,0-24 years,105,0
12/01/2021,2020,Associate degree or some college,Non-Hispanic More than one race,Male,25-39 years,313,6
12/01/2021,2020,Associate degree or some college,Non-Hispanic More than one race,Male,40-54 years,303,20
12/01/2021,2020,Associate degree or some college,Non-Hispanic More than one race,Male,55-64 years,369,35
12/01/2021,2020,Associate degree or some college,Non-Hispanic More than one race,Male,65-74 years,471,50
12/01/2021,2020,Associate degree or some college,Non-Hispanic More than one race,Male,75 years and over,493,51
12/01/2021,2020,Associate degree or some college,Non-Hispanic Native Hawaiian or Other Pacific Islande,Female,0-24 years,3,0
12/01/2021,2020,Associate degree or some college,Non-Hispanic Native Hawaiian or Other Pacific Islande,Female,25-39 years,23,6
12/01/2021,2020,Associate degree or some college,Non-Hispanic Native Hawaiian or Other Pacific Islande,Female,40-54 years,81,10
12/01/2021,2020,Associate degree or some college,Non-Hispanic Native Hawaiian or Other Pacific Islande,Female,55-64 years,97,14
12/01/2021,2020,Associate degree or some college,Non-Hispanic Native Hawaiian or Other Pacific Islande,Female,65-74 years,106,14
12/01/2021,2020,Associate degree or some college,Non-Hispanic Native Hawaiian or Other Pacific Islande,Female,75 years and over,86,7
12/01/2021,2020,Associate degree or some college,Non-Hispanic Native Hawaiian or Other Pacific Islande,Male,0-24 years,11,0
12/01/2021,2020,Associate degree or some college,Non-Hispanic Native Hawaiian or Other Pacific Islande,Male,25-39 years,52,8
12/01/2021,2020,Associate degree or some college,Non-Hispanic Native Hawaiian or Other Pacific Islande,Male,40-54 years,98,21
