Location,2020,2021,2022
"Autauga, AL",45151,48914,49391
"Baldwin, AL",51230,55865,56747
"Barbour, AL",37111,40795,40560
"Bibb, AL",34938,37175,37513
"Blount, AL",38133,42852,43744
"Bullock, AL",30495,32903,31394
"Butler, AL",39534,45213,46916
"Calhoun, AL",39591,43045,42533
"Chambers, AL",36250,38929,38876
"Cherokee, AL",39971,44622,44883
"Chilton, AL",38532,42012,42231
"Choctaw, AL",40531,43289,46440
"Clarke, AL",41234,44784,45179
"Clay, AL",35069,38770,39876
"Cleburne, AL",37928,42777,44235
"Coffee, AL",45039,50028,50729
"Colbert, AL",40052,43782,44061
"Conecuh, AL",37100,40467,40376
"Coosa, AL",36000,38500,39617
"Covington, AL",37926,41679,41543
"Crenshaw, AL",39935,45585,47882
"Cullman, AL",42181,46762,49122
"Dale, AL",40264,44101,43969
"Dallas, AL",39269,42158,41812
"DeKalb, AL",34596,40068,40558
"Elmore, AL",44636,48442,49071
"Escambia, AL",36380,39770,38838
"Etowah, AL",39607,42571,42951
"Fayette, AL",38222,41890,42036
"Franklin, AL",36497,40049,42060
"Geneva, AL",38181,41771,41283
"Greene, AL",36626,39661,38104
"Hale, AL",41204,44293,43219
"Henry, AL",47555,51489,52045
"Houston, AL",47325,51215,51096
"Jackson, AL",38905,43061,43275
"Jefferson, AL",58074,64006,66345
"Lamar, AL",36793,39585,39200
"Lauderdale, AL",42199,44530,45107
"Lawrence, AL",36917,42081,41522
"Lee, AL",41326,45046,46691
"Limestone, AL",47831,52876,53944
"Lowndes, AL",42209,47285,46639
"Macon, AL",34772,37946,38135
"Madison, AL",56265,60198,61252
"Marengo, AL",43790,46837,46799
"Marion, AL",37100,41264,42330
"Marshall, AL",41147,45298,45892
"Mobile, AL",42416,47372,47586
"Monroe, AL",38727,42105,41177
"Montgomery, AL",46116,49165,49199
"Morgan, AL",42823,46248,46203
"Perry, AL",37701,39995,38292
"Pickens, AL",39331,42738,42664
"Pike, AL",40936,45430,46766
"Randolph, AL",36506,41647,42590
"Russell, AL",35834,39584,38452
"St. Clair, AL",43432,47088,48058
"Shelby, AL",59313,64523,67405
"Sumter, AL",35823,38899,38538
"Talladega, AL",37831,41256,41231
"Tallapoosa, AL",44621,47953,48764
"Tuscaloosa, AL",39137,40964,41232
"Walker, AL",42856,45994,46698
"Washington, AL",40262,43810,43656
"Wilcox, AL",35964,39538,39881
"Winston, AL",39386,42066,43785
"Aleutian Islands Census Area, AK*",(NA),(NA),(NA)
"Aleutians East Borough, AK*",57010,58769,63878
"Aleutians West Census Area, AK*",62591,63537,69259
"Anchorage Municipality, AK",67764,72331,75506
"Bethel Census Area, AK*",45709,46535,48700
"Bristol Bay Borough, AK",139499,155951,157546
"Chugach Census Area, AK*",61431,68702,70721
"Copper River Census Area, AK*",49024,57179,60227
"Denali Borough, AK*",88560,107766,120674
"Dillingham Census Area, AK*",57520,57703,60904
"Fairbanks North Star Borough, AK",60410,65243,67790
"Haines Borough, AK*",75823,78623,85663
"Hoonah-Angoon Census Area, AK*",55325,58965,66897
"Juneau City and Borough, AK",70659,74872,78632
"Kenai Peninsula Borough, AK*",55838,59626,61262
"Ketchikan Gateway Borough, AK*",66142,69043,72997
"Kodiak Island Borough, AK",65458,68188,71593
"Kusilvak Census Area, AK*",32643,35394,36672
"Lake and Peninsula Borough, AK*",58144,63407,67312
"Matanuska-Susitna Borough, AK",52717,55049,58048
"Nome Census Area, AK",53918,56983,61962
"North Slope Borough, AK*",76256,70272,74651
"Northwest Arctic Borough, AK",49121,51860,55286
"Petersburg Borough, AK*",68829,76104,73152
"Prince of Wales-Hyder Census Area, AK*",51546,51360,53173
"Prince of Wales-Outer Ketchikan Census Area, AK*",(NA),(NA),(NA)
"Sitka City and Borough, AK*",67848,75822,80252
"Skagway Municipality, AK*",57961,67477,75545
"Skagway-Yakutat-Angoon Census Area, AK*",(NA),(NA),(NA)
"Skagway-Hoonah-Angoon Census Area, AK*",(NA),(NA),(NA)
"Southeast Fairbanks Census Area, AK*",53262,58798,60361
"Valdez-Cordova Census Area, AK*",(NA),(NA),(NA)
"Wrangell City and Borough, AK*",56521,59141,60959
"Wrangell-Petersburg Census Area, AK*",(NA),(NA),(NA)
"Yakutat City and Borough, AK*",58753,61535,64037
"Yukon-Koyukuk Census Area, AK*",58074,61353,65096
"Aleutian Islands Division, AK*",(NA),(NA),(NA)
"Angoon Division, AK*",(NA),(NA),(NA)
"Barrow-North Slope Division, AK*",(NA),(NA),(NA)
"Bethel Division, AK*",(NA),(NA),(NA)
"Bristol Bay Division, AK*",(NA),(NA),(NA)
"Cordova-McCarthy Division, AK*",(NA),(NA),(NA)
"Haines Division, AK*",(NA),(NA),(NA)
"Kenai-Cook Inlet Division, AK*",(NA),(NA),(NA)
"Kuskokwim Division, AK*",(NA),(NA),(NA)
"Outer Ketchikan Division, AK*",(NA),(NA),(NA)
"Prince of Wales Division, AK*",(NA),(NA),(NA)
"Seward Division, AK*",(NA),(NA),(NA)
"Sitka Division, AK*",(NA),(NA),(NA)
"Skagway-Yakutat Division, AK*",(NA),(NA),(NA)
"Southeast Fairbanks Division, AK*",(NA),(NA),(NA)
"Upper Yukon Division, AK*",(NA),(NA),(NA)
"Valdez-Chitina-Whittier Division, AK*",(NA),(NA),(NA)
"Wrangell-Petersburg Division, AK*",(NA),(NA),(NA)
"Yukon-Koyukuk Division, AK*",(NA),(NA),(NA)
"Apache, AZ",42192,45817,45633
"Cochise, AZ",46835,49445,50195
"Coconino, AZ",52890,56505,58933
"Gila, AZ",44992,49250,50505
"Graham, AZ",35930,39014,40981
"Greenlee, AZ",43210,48193,54219
"La Paz, AZ*",46218,51897,53997
"Maricopa, AZ",56024,61008,63461
"Mohave, AZ",40229,42777,44645
"Navajo, AZ",38620,42102,42096
"Pima, AZ",49601,53034,54464
"Pinal, AZ",41546,44574,45950
"Santa Cruz, AZ",43176,47119,47898
"Yavapai, AZ",46954,50065,51747
"Yuma, AZ*",42177,44285,44811
"Arkansas, AR",52013,59129,57819
"Ashley, AR",39850,43178,44693
"Baxter, AR",41064,43971,44402
"Benton, AR",83178,94227,98822
"Boone, AR",38572,42474,42367
"Bradley, AR",43164,46851,48740
"Calhoun, AR",42539,45906,47021
"Carroll, AR",34908,40903,41731
"Chicot, AR",44391,48652,45390
"Clark, AR",41644,42816,42339
"Clay, AR",39407,44611,43534
"Cleburne, AR",45100,47640,48466
"Cleveland, AR",42243,47838,51226
"Columbia, AR",41393,44008,45298
"Conway, AR",41962,45958,47384
"Craighead, AR",42319,46746,46373
"Crawford, AR",38448,41293,41735
"Crittenden, AR",41433,45226,44072
"Cross, AR",40176,42803,41096
"Dallas, AR",43720,46351,47046
"Desha, AR",44694,49934,48207
