,Data as of,Year,Education Level,Race or Hispanic Origin,Sex,Age Group,COVID-19 Deaths
379,12/01/2021,2020,Associate degree or some college,Hispanic,Female,0-24 years,19
380,12/01/2021,2020,Associate degree or some college,Hispanic,Female,25-39 years,127
381,12/01/2021,2020,Associate degree or some college,Hispanic,Female,40-54 years,410
382,12/01/2021,2020,Associate degree or some college,Hispanic,Female,55-64 years,586
383,12/01/2021,2020,Associate degree or some college,Hispanic,Female,65-74 years,689
384,12/01/2021,2020,Associate degree or some college,Hispanic,Female,75 years and over,914
385,12/01/2021,2020,Associate degree or some college,Hispanic,Male,0-24 years,27
386,12/01/2021,2020,Associate degree or some college,Hispanic,Male,25-39 years,236
387,12/01/2021,2020,Associate degree or some college,Hispanic,Male,40-54 years,769
388,12/01/2021,2020,Associate degree or some college,Hispanic,Male,55-64 years,1091
389,12/01/2021,2020,Associate degree or some college,Hispanic,Male,65-74 years,1192
390,12/01/2021,2020,Associate degree or some college,Hispanic,Male,75 years and over,1120
391,12/01/2021,2020,Associate degree or some college,Non-Hispanic American Indian or Alaska Native,Female,0-24 years,0
392,12/01/2021,2020,Associate degree or some college,Non-Hispanic American Indian or Alaska Native,Female,25-39 years,36
393,12/01/2021,2020,Associate degree or some college,Non-Hispanic American Indian or Alaska Native,Female,40-54 years,77
394,12/01/2021,2020,Associate degree or some college,Non-Hispanic American Indian or Alaska Native,Female,55-64 years,133
395,12/01/2021,2020,Associate degree or some college,Non-Hispanic American Indian or Alaska Native,Female,65-74 years,189
396,12/01/2021,2020,Associate degree or some college,Non-Hispanic American Indian or Alaska Native,Female,75 years and over,149
397,12/01/2021,2020,Associate degree or some college,Non-Hispanic American Indian or Alaska Native,Male,0-24 years,0
398,12/01/2021,2020,Associate degree or some college,Non-Hispanic American Indian or Alaska Native,Male,25-39 years,33
399,12/01/2021,2020,Associate degree or some college,Non-Hispanic American Indian or Alaska Native,Male,40-54 years,116
400,12/01/2021,2020,Associate degree or some college,Non-Hispanic American Indian or Alaska Native,Male,55-64 years,140
401,12/01/2021,2020,Associate degree or some college,Non-Hispanic American Indian or Alaska Native,Male,65-74 years,199
402,12/01/2021,2020,Associate degree or some college,Non-Hispanic American Indian or Alaska Native,Male,75 years and over,106
403,12/01/2021,2020,Associate degree or some college,Non-Hispanic Asian,Female,0-24 years,1
404,12/01/2021,2020,Associate degree or some college,Non-Hispanic Asian,Female,25-39 years,17
405,12/01/2021,2020,Associate degree or some college,Non-Hispanic Asian,Female,40-54 years,47
406,12/01/2021,2020,Associate degree or some college,Non-Hispanic Asian,Female,55-64 years,65
407,12/01/2021,2020,Associate degree or some college,Non-Hispanic Asian,Female,65-74 years,122
